name,packaging,inn,atc,distributor,releasable_by,shortage,releasable
131i-MIBG 20 MBQ/ml solution injection 1 x 20 MBQ,1 x 20 MBQ,m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG),V09IX02,'Izotóp Intézet Kft.,I,0,1
131i-MIBG 370 MBQ/ml solution injection 1 x 40 Mbq,1 x 40 Mbq,m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG),V09IX02,'Izotóp Intézet Kft.,I,0,1
14C-Helizo hard capsules 1 x 80 MBQ,1 x 80 MBQ,m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG),V09IX02,'Izotóp Intézet Kft.,I,0,1
1fluart suspension injection 1 x 10 ml in vial,1 x 10 ml in vial,m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG),V10XA02,'Izotóp Intézet Kft.,I,0,1
1fluart suspension injection 10 x -,10 x -,[14C] Carbamidum,V09HX,'Izotóp Intézet Kft.,I,0,1
1fluart suspension injection 1 x 0.5 ml ampoule,1 x 0.5 ml ampoule,vakcina (virális),J07BB01,'FLUART Innovative Vaccines Kft,V,0,1
3fluart injection 500 x 0.5 ml ampoule,500 x 0.5 ml ampoule,vakcina (virális),J07BB01,'FLUART Innovative Vaccines Kft,V,0,1
3fluart injection 20 x 0.5 ml ampoule,20 x 0.5 ml ampoule,vakcina (virális),J07BB01,'FLUART Innovative Vaccines Kft,V,0,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 1 x 0.5 ml ampoule,1 x 0.5 ml ampoule,vakcina (virális),J07BB01,'FLUART Innovative Vaccines Kft,V,0,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 20 x 0.5 ml ampoule,20 x 0.5 ml ampoule,vakcina (virális),J07BB01,'FLUART Innovative Vaccines Kft,V,0,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 5 x 5 ml in vial,5 x 5 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 1 x 20 ml in vial,1 x 20 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 1 x 5 ml in vial,1 x 5 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
5-Fluorouracil Sandoz 50 mg/ml concentrate for solution for infusion 1 x 10 ml in vial,1 x 10 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
Abacavir/Lamivudine TEVA 600 mg/300 mg film -coated tablets 5 x 10 ml in vial,5 x 10 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
Abacavir/Lamivudine TEVA 600 mg/300 mg film -coated tablets 1 x 100 ml in vial,1 x 100 ml in vial,fluorouracil,L01BC02,'Sandoz Hungária Kft.,I,1,1
Abasaglar 100 units/ml kwikp solution injection in a pre -filled injection pen 30 x - in bubble packaging,30 x - in bubble packaging,abacavir; lamivudine,J05AR02,'Teva Gyógyszergyár Zrt.,Sz,0,1
Abasaglar 100 units/ml kwikp solution injection in a pre -filled injection pen 90 x - in bubble packaging,90 x - in bubble packaging,abacavir; lamivudine,J05AR02,'Teva Gyógyszergyár Zrt.,Sz,0,1
Abasaglar 100 units/ml kwikp solution injection in a pre -filled injection pen 5 x 3 ml of pre -filled injection pen,5 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abasaglar 100 units/ml kwikp solution injection in a pre -filled injection pen 10 x 3 ml of pre -filled injection pen,10 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abasaglar 100 units/ml solution injection in cartridge 5 x 3 ml of pre -filled injection pen,5 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abasaglar 100 units/ml solution injection in cartridge 10 x 3 ml of pre -filled injection pen,10 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abasaglar 100 units/ml Tempo pen solution injection in a pre -filled injection pen 5 x 3 ml of cartridge,5 x 3 ml of cartridge,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abasaglar 100 units/ml Tempo pen solution injection in a pre -filled injection pen 10 x 3 ml in cartridge,10 x 3 ml in cartridge,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abecma 260? 500 × 10^6 cell dispersion infusion 5 x 3 ml of pre -filled injection pen,5 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abelcet 5 mg/ml suspension infusion 10 x 3 ml of pre -filled injection pen,10 x 3 ml of pre -filled injection pen,insulin glargine,A10AE04,'Eli Lilly Nederland B.V.,J,0,1
Abevmy 25 mg/ml concentrate for solution infusion 1 or more in an infusion bag of x 100 ml,1 or more in an infusion bag of x 100 ml,idecabtagene vicleucel,L01,'Bristol-Myers Squibb Pharma EEIG,I,0,1
Abevmy 25 mg/ml concentrate for solution infusion 10 x 20 ml in vial,10 x 20 ml in vial,amphotericin B,J02AA01,'Teva Gyógyszergyár Zrt.,I,1,1
Abevmy 25 mg/ml concentrate for solution infusion 1 x 4 ml in vial,1 x 4 ml in vial,bevacizumab,L01XC07,'Mylan IRE Healthcare Ltd.,I,0,1
Abevmy 25 mg/ml concentrate for solution infusion 5 x 4 ml in vial,5 x 4 ml in vial,bevacizumab,L01XC07,'Mylan IRE Healthcare Ltd.,I,0,1
Abevmy 25 mg/ml concentrate for solution infusion 1 x 16 ml in vial,1 x 16 ml in vial,bevacizumab,L01XC07,'Mylan IRE Healthcare Ltd.,I,0,1
Abies Nigra Balls (5ch) 2 x 16 ml in vial,2 x 16 ml in vial,bevacizumab,L01XC07,'Mylan IRE Healthcare Ltd.,I,0,1
Abies Nigra Balls (6ch) 3 x 16 ml in vial,3 x 16 ml in vial,bevacizumab,L01XC07,'Mylan IRE Healthcare Ltd.,I,0,1
Abies Nigra Balls (9ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abies Nigra Balls (12ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abies Nigra Balls (15ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abies Nigra Balls (30ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abies Nigra Balls (200ch) 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abilify 1 mg/ml oral solution 1 x 4 g multi dose,1 x 4 g multi dose,,,'BOIRON,VN,0,1
Abilify 1 mg/ml oral solution 1 x 50 ml,1 x 50 ml,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg dispersed tablets 1 x 150 ml,1 x 150 ml,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg dispersed tablets 1 x 480 ml,1 x 480 ml,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg dispersed tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg tablets 28 x -,28 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg tablets 49 x -,49 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 10 mg tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 15 mg dispersed tablets 56 x -,56 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 15 mg dispersed tablets 98 x -,98 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
